Rank,Country,Population,imfGDP,unGDP,perCapita,Continent
90,Albania,2877797,15.96,11863866791,4122.5517,Europe
91,Jamaica,2961167,16.152,14056901075,4747.0815,America
92,Gabon,2225734,16.709,13863183526,6228.5895,Africa
93,Georgia,3989167,17.214,14332728707,3592.9127,Europe
94,Mali,20250833,17.833,14001696748,691.4134,Africa
95,Botswana,2351627,19.651,15566057294,6619.2714,Africa
96,Afghanistan,38928346,19.99,20235063330,519.8028,Asia
97,Bosnia and Herzegovina,3280819,20.152,16909904149,5154.1716,Europe
98,Laos,7275560,20.153,15805707090,2172.4386,Asia
99,Papua New Guinea,8947024,21.453,19694115731,2201.1918,Oceania
100,Zimbabwe,14862924,22.29,16123763648,1084.8312,Africa
101,Trinidad and Tobago,1399488,22.438,24086176564,17210.706,America
102,Iceland,341243,24.544,20269659972,59399.4894,Europe
